77,value,values-port,122,resources,other,N/A,APKTOOL_DUMMYVAL_0x7f060000,false
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140000,"This policy controls whether request methods are uppercased when matching with Access-Control-Allow-Methods response headers in CORS preflight. If the policy is Disabled- request methods are uppercased. This is the behavior on or before Google Chrome 108. If the policy is Enabled or not set- request methods are not uppercased- unless matching case-insensitively with DELETE- GET- HEAD- OPTIONS- POST- or PUT. This would reject fetch(url- {method: 'Foo'}) + \"Access-Control-Allow-Methods: FOO\" response header- and would accept fetch(url- {method: 'Foo'}) + \"Access-Control-Allow-Methods: Foo\" response header. Note: request methods \"post\" and \"put\" are not affected- while \"patch\" is affected. This policy is intended to be temporary and will be removed in the future."
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140001,Make Access-Control-Allow-Methods matching in CORS preflight spec conformant
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140002,A policy to control whether the accessibility engine is allowed to dynamically compute a filter for the accessibility tree in Google Chrome to improve performance. When the policy is either set to Enabled or not set- the accessibility engine is allowed to dynamically compute filter modes for the accessibility tree in Google Chrome- which may lead to a performance improvement. When the policy is set to Disabled- the accessibility engine is not allowed to dynamically compute filter modes for the accessibility tree.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140003,Allow Accessibility Performance Filtering.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140004,This policy controls whether Google Chrome may query additional DNS record types when making insecure DNS requests. This policy has no effect on DNS queries made via Secure DNS- which may always query additional DNS types. If this policy is unset or set to Enabled- additional types such as HTTPS (DNS type 65) may be queried in addition to A (DNS type 1) and AAAA (DNS type 28). If this policy is set to Disabled- DNS will only be queried for A (DNS type 1) and/or AAAA (DNS type 28). This policy is a temporary measure and will be removed in future versions of Google Chrome. After removal of the policy- Google Chrome will always be able to query additional DNS types.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140005,Allow DNS queries for additional DNS record types
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140006,Setting the policy specifies for which origins to allow all the HTTP authentication schemes Google Chrome supports regardless of the AuthSchemes policy. Format the origin pattern according to this format (https://support.google.com/chrome/a?p=url_blocklist_filter_format). Up to 1-000 exceptions can be defined in AllHttpAuthSchemesAllowedForOrigins. Wildcards are allowed for the whole origin or parts of the origin- either the scheme- host- port.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140007,List of origins allowing all HTTP authentication
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140008,This policy controls if a page with Cache-Control: no-store header can be stored in back/forward cache. The website setting this header may not expect the page to be restored from back/forward cache since some sensitive information could still be displayed after the restoration even if it is no longer accessible. If the policy is enabled or unset- the page with Cache-Control: no-store header might be restored from back/forward cache unless the cache eviction is triggered (e.g. when there is HTTP-only cookie change to the site). If the policy is disabled- the page with Cache-Control: no-store header will not be stored in back/forward cache.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140009,Allow pages with Cache-Control: no-store header to enter back/forward cache
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14000a,If set to Enabled- Google Chrome will allow Web Authentication requests on websites that have TLS certificates with errors (i.e. websites considered not secure). If the policy is set to Disabled or left unset- the default behavior of blocking such requests will apply.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14000b,Allow Web Authentication requests on sites with broken TLS certificates.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14000c,"Setting the policy turns on Chrome's restricted sign-in feature in Google Workspace and prevents users from changing this setting. Users can only access Google tools using accounts from the specified domains (to allow gmail or googlemail accounts- add consumer_accounts to the list of domains). This setting prevents users from signing in and adding a Secondary Account on a managed device that requires Google authentication- if that account doesn't belong to one of the explicitly allowed domains. Leaving this setting empty or unset means users can access Google Workspace with any account. Users cannot change or override this setting. Note: This policy causes the X-GoogApps-Allowed-Domains header to be appended to all HTTP and HTTPS requests to all google.com domains- as described in https://support.google.com/a/answer/1668854."
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14000d,Define domains allowed to access Google Workspace
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14000e,"Setting the policy to True means Google Chrome uses alternate error pages built into (such as \"page not found\"). Setting the policy to False means Google Chrome never uses alternate error pages. If you set the policy- users can't change it. If not set- the policy is on- but users can change this setting."
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14000f,Enable alternate error pages
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140010,Setting the policy specifies the type of accounts provided by the Android authentication app that supports HTTP Negotiate authentication (such as Kerberos authentication). This information should be available from the supplier of the authentication app. For details- see The Chromium Projects ( https://goo.gl/hajyfN ) Leaving the policy unset turns off HTTP Negotiate authentication on Android.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140011,Account type for HTTP Negotiate authentication
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140012,"Setting the policy assigns servers that Google Chrome may delegate to. Separate multiple server names with commas. Wildcards- *- are allowed. Leaving the policy unset means Google Chrome won't delegate user credentials- even if a server is detected as intranet."
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140013,Kerberos delegation server allowlist
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140014,Setting the policy specifies which HTTP authentication schemes Google Chrome supports. Leaving the policy unset employs all 4 schemes. Valid values: * basic * digest * ntlm * negotiate Note: Separate multiple values with commas.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140015,Supported authentication schemes
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140016,Setting the policy specifies which servers should be allowed for integrated authentication. Integrated authentication is only on when Google Chrome gets an authentication challenge from a proxy or from a server in this permitted list. Leaving the policy unset means Google Chrome tries to detect if a server is on the intranet. Only then will it respond to IWA requests. If a server is detected as internet- then Google Chrome ignores IWA requests from it. Note: Separate multiple server names with commas. Wildcards- *- are allowed.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140017,Authentication server allowlist
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140018,Setting the policy to True or leaving it unset gives users control of Autofill for addresses in the UI. Setting the policy to False means Autofill never suggests or fills address information- nor does it save additional address information that users submit while browsing the web.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f140019,Enable AutoFill for addresses
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14001a,Setting the policy to True or leaving it unset means users can control autofill suggestions for credit cards in the UI. Setting the policy to False means autofill never suggests or fills credit card information- nor will it save additional credit card information that users might submit while browsing the web.
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14001b,Enable AutoFill for credit cards
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14001c,"For security reasons- the requestFullscreen() web API requires a prior user gesture (\"transient activation\") to be called or will otherwise fail. Users' personal settings may allow certain origins to call this API without a prior user gesture- as described in https://chromestatus.com/feature/6218822004768768. This policy supersedes users' personal settings and allows matching origins to call the API without a prior user gesture. For detailed information on valid url patterns- please see https://cloud.google.com/docs/chrome-enterprise/policies/url-patterns. Wildcards- *- are allowed. Origins matching both blocked and allowed policy patterns will be blocked. Origins not specified by policy nor user settings will require a prior user gesture to call this API."
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14001d,Allow automatic fullscreen on these sites
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14001e,"For security reasons- the requestFullscreen() web API requires a prior user gesture (\"transient activation\") to be called or will otherwise fail. Users' personal settings may allow certain origins to call this API without a prior user gesture- as described in https://chromestatus.com/feature/6218822004768768. This policy supersedes users' personal settings and blocks matching origins from calling the API without a prior user gesture. For detailed information on valid url patterns- please see https://cloud.google.com/docs/chrome-enterprise/policies/url-patterns. Wildcards- *- are allowed. Origins matching both blocked and allowed policy patterns will be blocked. Origins not specified by policy nor user settings will require a prior user gesture to call this API."
77,value,values,2843005,resources,string,N/A,APKTOOL_DUMMYVAL_0x7f14001f,Block automatic fullscreen on these sites
